ClusterName,Descendant Counts,Descendants
G76,4,"{'00c03e_3256', '0a7f85_2964', '31917e_3252', '4f002d_3112'}"
G77,4,"{'30aeef_3352', '53c295_3320', 'e7b5bc_3200', 'bb4c17_3372'}"
G78,2,"{'c68fd2_3208', '4b0f08_3208'}"
G79,2,"{'701a96_3316', 'bed569_3272'}"
G80,2,"{'1d412b_3436', 'a134d9_2900'}"
G81,2,"{'a134d9_3364', 'dacdd4_3264'}"
G82,2,"{'a134d9_3404', 'cc462e_2936'}"
G83,2,"{'dacdd4_3292', 'cc462e_2944'}"
G84,2,"{'dacdd4_3300', 'cc462e_2952'}"
G85,2,"{'452eea_2900', '0c9440_3316'}"
G86,2,"{'0720d6_3344', '58eca9_3312'}"
G87,2,"{'bd5efb_3264', '91cb7c_3328'}"
G88,2,"{'60df90_3416', 'ad9850_3204'}"
G89,2,"{'c68fd2_3168', 'e37a94_3412'}"
G90,2,"{'1e9b7a_3368', '00c03e_3180'}"
G91,2,"{'1d412b_3052', 'c2896b_2936'}"
G92,2,"{'f1c2e7_3224', '31917e_3248'}"
G93,2,"{'e0966a_2876', '73f36e_3276'}"
G94,2,"{'d76b44_3316', '5bf528_3316'}"
G95,2,"{'dacdd4_3284', 'a134d9_3420'}"
G96,2,"{'a134d9_3428', 'cc462e_2904'}"
G97,6,"{'0a7f85_2964', 'bd5efb_3264', '00c03e_3256', '31917e_3252', '91cb7c_3328', '4f002d_3112'}"
G98,6,"{'30aeef_3352', '53c295_3320', '701a96_3316', 'bb4c17_3372', 'bed569_3272', 'e7b5bc_3200'}"
G99,4,"{'0720d6_3344', '452eea_2900', '0c9440_3316', '58eca9_3312'}"
G100,4,"{'1d412b_3052', '1e9b7a_3368', '00c03e_3180', 'c2896b_2936'}"
G101,4,"{'c68fd2_3208', '4b0f08_3208', 'c68fd2_3168', 'e37a94_3412'}"
G102,4,"{'a134d9_3420', 'a134d9_3428', 'dacdd4_3284', 'cc462e_2904'}"
G103,4,"{'a134d9_3404', 'dacdd4_3292', 'cc462e_2944', 'cc462e_2936'}"
G104,4,"{'e0966a_2876', '60df90_3416', '73f36e_3276', 'ad9850_3204'}"
G105,4,"{'f1c2e7_3224', '5bf528_3316', 'd76b44_3316', '31917e_3248'}"
G106,4,"{'a134d9_3364', 'dacdd4_3300', 'dacdd4_3264', 'cc462e_2952'}"
G107,8,"{'a134d9_3428', 'dacdd4_3264', 'dacdd4_3284', 'cc462e_2904', 'a134d9_3420', 'a134d9_3364', 'cc462e_2952', 'dacdd4_3300'}"
G108,10,"{'30aeef_3352', '0720d6_3344', '0c9440_3316', '53c295_3320', '701a96_3316', 'bb4c17_3372', '452eea_2900', 'bed569_3272', '58eca9_3312', 'e7b5bc_3200'}"
G109,8,"{'c68fd2_3208', '4b0f08_3208', '00c03e_3180', '1e9b7a_3368', 'c68fd2_3168', 'e37a94_3412', 'c2896b_2936', '1d412b_3052'}"
G110,10,"{'60df90_3416', '73f36e_3276', 'ad9850_3204', '0a7f85_2964', 'bd5efb_3264', '00c03e_3256', '31917e_3252', 'e0966a_2876', '91cb7c_3328', '4f002d_3112'}"
G111,12,"{'a134d9_3428', 'dacdd4_3264', 'a134d9_3404', 'dacdd4_3292', 'dacdd4_3284', 'cc462e_2936', 'cc462e_2904', 'a134d9_3420', 'a134d9_3364', 'cc462e_2952', 'cc462e_2944', 'dacdd4_3300'}"
G112,18,"{'c68fd2_3208', '4b0f08_3208', '30aeef_3352', '0720d6_3344', '58eca9_3312', '0c9440_3316', '53c295_3320', '00c03e_3180', '701a96_3316', '1e9b7a_3368', 'c68fd2_3168', 'bb4c17_3372', 'e37a94_3412', 'c2896b_2936', '452eea_2900', 'bed569_3272', '1d412b_3052', 'e7b5bc_3200'}"
G113,14,"{'60df90_3416', '73f36e_3276', 'ad9850_3204', '0a7f85_2964', 'bd5efb_3264', '00c03e_3256', '31917e_3252', '31917e_3248', 'e0966a_2876', '5bf528_3316', 'f1c2e7_3224', 'd76b44_3316', '91cb7c_3328', '4f002d_3112'}"
G114,32,"{'60df90_3416', '0a7f85_2964', '0c9440_3316', '00c03e_3256', '31917e_3248', 'bb4c17_3372', '5bf528_3316', '58eca9_3312', '4b0f08_3208', '73f36e_3276', 'bd5efb_3264', '53c295_3320', 'e0966a_2876', 'd76b44_3316', 'c68fd2_3208', '0720d6_3344', '30aeef_3352', '00c03e_3180', '701a96_3316', 'c68fd2_3168', '452eea_2900', 'e37a94_3412', 'c2896b_2936', 'bed569_3272', '1d412b_3052', 'f1c2e7_3224', '4f002d_3112', 'ad9850_3204', '31917e_3252', '1e9b7a_3368', 'e7b5bc_3200', '91cb7c_3328'}"
