ClusterName,MotifIndex,MotifLength,Common Motif APIs
G76,0,63,RegQueryValue#PR@HKLM@sys_curCtlSet_ctl_sessionManager\*#PR@SUBK@criticalsectiontimeout#PR@0#PR@12f9b0#Ret#0
,,,RegQueryValue#PR@HKLM@soft_ms_ole\*#PR@SUBK@rwlockresourcetimeout#PR@0#PR@12f9b4#Ret#P
,,,LoadLibrary#PR@SYS@advapi32@DLL#Ret#P
,,,LoadLibrary#PR@SYS@oleaut32@DLL#Ret#P
,,,LoadLibrary#PR@USR@malware@ENU#Ret#N
,,,LoadLibrary#PR@USR@malware@EN#Ret#N
,,,RegQueryValue#PR@HKLM@soft_ms_win_currentversion\setup#PR@SUBK@version#PR@0#PR@44ccec#Ret#P
,,,RegSetValue#PR@HKLM@soft_ms_win_currentversion\setup\version#PR@REG_DWORD#PR@131#Ret#0
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@FILE_SHARE_READ;FILE_SHARE_WRITE#Ret#P
,,,RegSetValue#PR@HKLM@soft_ms_win_currentversion\run\{FIL}.exe#PR@REG_SZ#PR@C:\WINDOWS\system32\winxcfg.exe#Ret#0
,,,CreateFile#PR@USR@EXE#PR@GENERIC_READ#PR@OPEN_EXISTING#PR@FILE_SHARE_READ;FILE_SHARE_WRITE#Ret#P
,,,RegSetValue#PR@SUBK@disablesharing#PR@REG_DWORD#PR@0#Ret#P
,,,RegSetValue#PR@SUBK@dir98#PR@REG_SZ#PR@012345:C:\WINDOWS\system32\macromd#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@EXE#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@PIF#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@PIF#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@PIF#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
,,,CreateFile#PR@SYS@PIF#PR@GENERIC_READ;GENERIC_WRITE#PR@CREATE_ALWAYS#PR@0#Ret#P
